date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:36:29	0/0	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2003%20Sep%202021%2007:36:29%20GMT	https://modern-furniture.myharavan.com/owl.video.play.png	/home/luong/Downloads/clone_code/theme_book/modern-furniture.myharavan.com/owl.video.play.png	(from https://modern-furniture.myharavan.com/)
14:36:31	884/884	---MC-	200	added ('OK')	text/javascript	date:Fri,%2003%20Sep%202021%2007:36:30%20GMT	https://www.google.com/recaptcha/api.js?render=6LdD18MUAAAAAHqKl3Avv8W-tREL6LangePxQLM-	/home/luong/Downloads/clone_code/theme_book/www.google.com/recaptcha/api4d7a.js	(from https://modern-furniture.myharavan.com/)
14:36:32	214544/214544	---MCZ	200	added ('OK')	application/javascript	etag:W/%221d6711aef334d90%22	https://stats.hstatic.net/analytics.min.js?t=2	/home/luong/Downloads/clone_code/theme_book/stats.hstatic.net/analytics.minb0af.js	(from https://modern-furniture.myharavan.com/)
14:36:33	591248/591248	---MCZ	200	added ('OK')	text/html	etag:W/%225fbebe960b934388b9e043805db63357%22	https://modern-furniture.myharavan.com/collections/all	/home/luong/Downloads/clone_code/theme_book/modern-furniture.myharavan.com/collections/all.html	(from https://modern-furniture.myharavan.com/)
14:36:34	650088/650088	---MCZ	200	added ('OK')	text/html	etag:W/%2221b46577d2684bd4947784fbacfba559%22	https://modern-furniture.myharavan.com/products/ghe-phong-khach-arctander	/home/luong/Downloads/clone_code/theme_book/modern-furniture.myharavan.com/products/ghe-phong-khach-arctander.html	(from https://modern-furniture.myharavan.com/)
14:36:35	538816/538816	---MCZ	200	added ('OK')	text/html	etag:W/%22bee0c3bdbe3d49ee89eb2f1446935979%22	https://modern-furniture.myharavan.com/blogs/news	/home/luong/Downloads/clone_code/theme_book/modern-furniture.myharavan.com/blogs/news.html	(from https://modern-furniture.myharavan.com/)
14:36:36	709313/709313	---MCZ	200	added ('OK')	text/html	etag:W/%22342c351ea11044339627b76b292d3a2d%22	https://modern-furniture.myharavan.com/pages/ldp-furniture-1	/home/luong/Downloads/clone_code/theme_book/modern-furniture.myharavan.com/pages/ldp-furniture-1.html	(from https://modern-furniture.myharavan.com/)
14:36:37	649596/649596	---MCZ	200	added ('OK')	text/html	etag:W/%220cd2e6572add4a50bf7637e898d212a1%22	https://modern-furniture.myharavan.com/products/ghe-phong-khach-arctander?view=style-01	/home/luong/Downloads/clone_code/theme_book/modern-furniture.myharavan.com/products/ghe-phong-khach-arctander4946.html	(from https://modern-furniture.myharavan.com/)
14:36:37	600050/600050	---MCZ	200	added ('OK')	text/html	etag:W/%221d93f3184c884e848427591ec13e3ea9%22	https://modern-furniture.myharavan.com/?view=one-product	/home/luong/Downloads/clone_code/theme_book/modern-furniture.myharavan.com/index71af.html	(from https://modern-furniture.myharavan.com/)
14:36:37	581579/581579	---MCZ	200	added ('OK')	text/html	etag:W/%22f88b2f8a9a0d4dd9b9ebf1ebc99a30fa%22	https://modern-furniture.myharavan.com/?view=slider	/home/luong/Downloads/clone_code/theme_book/modern-furniture.myharavan.com/index1546.html	(from https://modern-furniture.myharavan.com/)
14:36:37	583028/583028	---MCZ	200	added ('OK')	text/html	etag:W/%22e8b3637956904e01a07b2f52f33f7f20%22	https://modern-furniture.myharavan.com/?view=noslider	/home/luong/Downloads/clone_code/theme_book/modern-furniture.myharavan.com/index70cc.html	(from https://modern-furniture.myharavan.com/)
14:36:39	646268/646268	---MCZ	200	added ('OK')	text/html	etag:W/%2237944b98bc964bc4a9abecd8bc68223f%22	https://modern-furniture.myharavan.com/products/ghe-phong-khach-arctander?view=style-02	/home/luong/Downloads/clone_code/theme_book/modern-furniture.myharavan.com/products/ghe-phong-khach-arctander3cc1.html	(from https://modern-furniture.myharavan.com/)
14:36:39	603862/603862	---MCZ	200	added ('OK')	text/html	etag:W/%222b5cd98dd08e4b0ea5d33fb69f6a262c%22	https://modern-furniture.myharavan.com/?view=header-style-02	/home/luong/Downloads/clone_code/theme_book/modern-furniture.myharavan.com/indexbc45.html	(from https://modern-furniture.myharavan.com/)
14:36:39	605715/605715	---MCZ	200	added ('OK')	text/html	etag:W/%220dc1bb898c0044d09a9a4d67c3cc8546%22	https://modern-furniture.myharavan.com/?view=header-style-03	/home/luong/Downloads/clone_code/theme_book/modern-furniture.myharavan.com/index271b.html	(from https://modern-furniture.myharavan.com/)
14:36:39	604141/604141	---MCZ	200	added ('OK')	text/html	etag:W/%22753e679de2884213aea966851f9c3502%22	https://modern-furniture.myharavan.com/?view=header-style-01	/home/luong/Downloads/clone_code/theme_book/modern-furniture.myharavan.com/index2b36.html	(from https://modern-furniture.myharavan.com/)
14:36:42	649471/649471	---MCZ	200	added ('OK')	text/html	etag:W/%2215096d503efa44839393a6d8865f08fd%22	https://modern-furniture.myharavan.com/products/ghe-phong-khach-arctander?view=style-03	/home/luong/Downloads/clone_code/theme_book/modern-furniture.myharavan.com/products/ghe-phong-khach-arctander5751.html	(from https://modern-furniture.myharavan.com/)
14:36:43	526413/526413	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Sep%202021%2007:36:41%20GMT	https://modern-furniture.myharavan.com/account/register	/home/luong/Downloads/clone_code/theme_book/modern-furniture.myharavan.com/account/register.html	(from https://modern-furniture.myharavan.com/)
14:36:43	530155/530155	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Sep%202021%2007:36:42%20GMT	https://modern-furniture.myharavan.com/cart	/home/luong/Downloads/clone_code/theme_book/modern-furniture.myharavan.com/cart.html	(from https://modern-furniture.myharavan.com/)
14:36:43	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2003%20Sep%202021%2007:36:43%20GMT	https://modern-furniture.myharavan.com/checkout	/home/luong/Downloads/clone_code/theme_book/modern-furniture.myharavan.com/checkout	(from https://modern-furniture.myharavan.com/)
14:36:45	11266/11266	---M--	200	added ('OK')	image/jpeg	etag:%2233618f64a451b07fa95c90959fbd7e91%22	http://theme.hstatic.net/1000309459/1000717021/14/slideshow_1_large.jpg?v=409	/home/luong/Downloads/clone_code/theme_book/theme.hstatic.net/1000309459/1000717021/14/slideshow_1_largee0a8.jpg	(from https://modern-furniture.myharavan.com/)
14:36:53	28385/28385	---M--	200	added ('OK')	image/jpeg	etag:%22e4eda441eb21ae612d69fb603659c55b%22	http://theme.hstatic.net/1000309459/1000717021/14/slideshow_2_large.jpg?v=409	/home/luong/Downloads/clone_code/theme_book/theme.hstatic.net/1000309459/1000717021/14/slideshow_2_largee0a8.jpg	(from https://modern-furniture.myharavan.com/)
14:36:58	39520/39520	---M--	200	added ('OK')	image/jpeg	etag:%2226db3d7977a87e702691a542f4d34345%22	http://theme.hstatic.net/1000309459/1000717021/14/slideshow_3_large.jpg?v=409	/home/luong/Downloads/clone_code/theme_book/theme.hstatic.net/1000309459/1000717021/14/slideshow_3_largee0a8.jpg	(from https://modern-furniture.myharavan.com/)
14:37:03	13529/13529	---M--	200	added ('OK')	image/jpeg	etag:%228238eb1b1481619a5522124350171f62%22	http://theme.hstatic.net/1000309459/1000717021/14/home_category_1_banner.jpg?v=409	/home/luong/Downloads/clone_code/theme_book/theme.hstatic.net/1000309459/1000717021/14/home_category_1_bannere0a8.jpg	(from https://modern-furniture.myharavan.com/)
14:37:05	131809/131809	---M--	200	added ('OK')	image/jpeg	etag:%227fe4ee42d425d0c1ab3b9915d8e9b47d%22	http://theme.hstatic.net/1000309459/1000717021/14/slideshow_1.jpg?v=409	/home/luong/Downloads/clone_code/theme_book/theme.hstatic.net/1000309459/1000717021/14/slideshow_1e0a8.jpg	(from https://modern-furniture.myharavan.com/)
14:37:10	12079/12079	---M--	200	added ('OK')	image/jpeg	etag:%224d3d987286aebb30fa99ceed424e43df%22	http://theme.hstatic.net/1000309459/1000717021/14/home_category_3_banner.jpg?v=409	/home/luong/Downloads/clone_code/theme_book/theme.hstatic.net/1000309459/1000717021/14/home_category_3_bannere0a8.jpg	(from https://modern-furniture.myharavan.com/)
14:37:10	22812/22812	---M--	200	added ('OK')	image/jpeg	etag:%2261062b5acad9217e4f670f7a4be0b9c2%22	http://theme.hstatic.net/1000309459/1000717021/14/home_category_2_banner.jpg?v=409	/home/luong/Downloads/clone_code/theme_book/theme.hstatic.net/1000309459/1000717021/14/home_category_2_bannere0a8.jpg	(from https://modern-furniture.myharavan.com/)
14:37:15	16910/16910	---M--	200	added ('OK')	image/jpeg	etag:%220b659368d57707047d87f984d34f4c9c%22	http://theme.hstatic.net/1000309459/1000717021/14/home_category_4_banner.jpg?v=409	/home/luong/Downloads/clone_code/theme_book/theme.hstatic.net/1000309459/1000717021/14/home_category_4_bannere0a8.jpg	(from https://modern-furniture.myharavan.com/)
